"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"SPP1",2.29145855001467e-132,4.82279700209075,0.45,0.015,3.10217658500986e-128,"SPP1"
"JCHAIN",7.06765962598521e-104,-1.23172608148866,0.351,0.747,9.56819760165877e-100,"JCHAIN"
"LYVE1",1.2499219869943e-90,-4.51123384496181,0.006,0.176,1.69214438599289e-86,"LYVE1"
"APOC1",6.50749001434751e-87,2.13266461839138,0.454,0.09,8.80983998142366e-83,"APOC1"
"TFF3",5.81091870068102e-85,2.56337227756009,0.339,0.022,7.86682173698197e-81,"TFF3"
"APOE",2.230423792201e-78,2.27331363328168,0.39,0.061,3.01954772988171e-74,"APOE"
"ALOX5AP",8.14500262441919e-72,1.07752154973618,0.697,0.338,1.10267045529387e-67,"ALOX5AP"
"CAPG",2.39840074883313e-69,0.832960066954058,0.781,0.447,3.24695493377029e-65,"CAPG"
"IER2",2.03453840525333e-63,-0.753373749506447,0.603,0.859,2.75435809303196e-59,"IER2"
"CFP",4.74693394663496e-62,-1.09964152971519,0.243,0.544,6.42639917695441e-58,"CFP"
"CLEC10A",4.00830064563344e-61,-1.12855259489776,0.222,0.523,5.42643741405855e-57,"CLEC10A"
"F13A1",5.01581450110628e-58,-1.52334510617131,0.104,0.331,6.79040967159768e-54,"F13A1"
"C15ORF48",3.5246325473917e-52,1.18928137312533,0.62,0.351,4.77164754265888e-48,"C15ORF48"
"FABP1",3.16526989497909e-51,1.43417564507301,0.232,0.019,4.28514238382269e-47,"FABP1"
"CLEC5A",4.93627476363991e-51,3.97205431527512,0.22,0.015,6.68272877501571e-47,"CLEC5A"
"TREM2",1.81163519307135e-49,3.49652815190063,0.217,0.015,2.45259172438e-45,"TREM2"
"CD9",1.83926066394836e-49,0.759964416827122,0.499,0.181,2.48999108685329e-45,"CD9"
"GPNMB",2.76084991498166e-49,1.66799405315181,0.333,0.082,3.73763861490217e-45,"GPNMB"
"HSPB1",6.80316789878618e-49,1.0140915470575,0.655,0.436,9.21012870137674e-45,"HSPB1"
"FOS",6.06261780927111e-47,-0.4395875361587,0.796,0.924,8.20757199019122e-43,"FOS"
"ACP5",4.16287799588359e-46,1.09515036814872,0.492,0.213,5.6357042308272e-42,"ACP5"
"JUNB",1.43647633761445e-44,-0.400162443940286,0.856,0.949,1.94470166586244e-40,"JUNB"
"FN1",5.25164602003152e-44,10.3383914164201,0.167,0,7.10967838191868e-40,"FN1"
"IL10",5.84614553977113e-44,-1.22352186500529,0.089,0.274,7.91451183174216e-40,"IL10"
"CD81",7.43151099111245e-44,1.19229737559553,0.41,0.147,1.0060779579768e-39,"CD81"
"RETN",6.00210929875327e-41,1.33730165838268,0.407,0.169,8.12565556865218e-37,"RETN"
"NFXL1",6.02795441893129e-41,-2.48436740430217,0.017,0.122,8.16064469234919e-37,"NFXL1"
"OLR1",1.53376758522258e-40,1.17034027820792,0.484,0.221,2.07641455687432e-36,"OLR1"
"CEBPB",2.23935479920061e-39,0.779405890499967,0.694,0.481,3.03163852715779e-35,"CEBPB"
"NUPR1",6.72511934857973e-37,4.60065937936131,0.148,0.003,9.10446657410724e-33,"NUPR1"
"LDHA",1.04139347116474e-36,0.655174489719364,0.748,0.565,1.40983848126282e-32,"LDHA"
"TNIP3",5.18883578552271e-36,-0.761896987547756,0.044,0.176,7.02464588644065e-32,"TNIP3"
"NR4A2",1.63343980671061e-35,-0.513749060040346,0.591,0.804,2.21135081032482e-31,"NR4A2"
"PLIN2",1.31934952011348e-34,0.691188912343494,0.654,0.387,1.78613538032963e-30,"PLIN2"
"THBS1",2.09477717960771e-33,-0.731559354396204,0.207,0.422,2.83590934575292e-29,"THBS1"
"SLC16A10",4.30701509256999e-33,1.17421766843177,0.277,0.08,5.83083703232126e-29,"SLC16A10"
"CYP1B1",1.74739125163892e-32,-1.80532219123941,0.043,0.159,2.36561827646877e-28,"CYP1B1"
"PPIF",4.66603216603955e-32,1.18963691356588,0.453,0.248,6.31687434638434e-28,"PPIF"
"HSPA1B",5.25268769669853e-32,0.984883341708611,0.546,0.365,7.11108860379047e-28,"HSPA1B"
"FXYD3",9.42935754600409e-32,2.88021438846516,0.136,0.006,1.27654642457803e-27,"FXYD3"
"MMP19",3.27643367227931e-31,1.37980795111225,0.247,0.069,4.43563590553173e-27,"MMP19"
"HSP90AA1",5.42212726979141e-31,0.344651582030312,0.944,0.909,7.34047589784361e-27,"HSP90AA1"
"B3GNT5",1.41737477568294e-30,1.83852215626226,0.214,0.052,1.91884197131956e-26,"B3GNT5"
"ARPC1B",1.86290528361026e-30,-0.301991901922046,0.768,0.862,2.52200117295157e-26,"ARPC1B"
"SLC11A1",2.85607631634784e-30,0.955338726674227,0.445,0.226,3.86655611707171e-26,"SLC11A1"
"LAPTM5",6.24638308957301e-30,0.298366757943606,0.902,0.822,8.45635342666394e-26,"LAPTM5"
"MEF2C",6.61007609185044e-30,-0.70775687706128,0.333,0.545,8.94872101314712e-26,"MEF2C"
"MIF",1.34436397670024e-29,0.66237240792615,0.695,0.484,1.81999995165678e-25,"MIF"
"DDX3Y",2.17212701050735e-29,-1.15939760800567,0.094,0.238,2.94062554682485e-25,"DDX3Y"
"BCAT1",2.44042831554173e-29,1.46154095945409,0.252,0.08,3.3038518535804e-25,"BCAT1"
"PLAU",2.86782733321723e-29,2.30253798433168,0.174,0.031,3.88246464370949e-25,"PLAU"
"ARL5B",8.7613068028752e-29,-0.566521542515294,0.221,0.432,1.18610571497324e-24,"ARL5B"
"POU2F2",1.0975374660358e-28,-1.1131494086645,0.138,0.297,1.48584622151927e-24,"POU2F2"
"UPP1",1.97064667255685e-28,0.874701771221763,0.497,0.284,2.66786146530746e-24,"UPP1"
"HSPH1",2.19732671287869e-28,1.03943805571001,0.513,0.336,2.97474090389517e-24,"HSPH1"
"HSPA1A",7.6235875616152e-28,0.672652489725944,0.697,0.603,1.03208128409147e-23,"HSPA1A"
"ANGPTL4",1.66165247088582e-27,8.92101161901304,0.107,0,2.24954511508523e-23,"ANGPTL4"
"VAMP5",4.46913198816455e-27,-0.657960702531243,0.395,0.575,6.05031088557717e-23,"VAMP5"
"LINC00936",1.21802673641283e-26,-0.501365622223998,0.259,0.473,1.64896459575569e-22,"LINC00936"
